序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,bDDO_N0[1],BOOL,,OFF,,,,,
,bDDO_N0[2],BOOL,,OFF,,,,,
,bDDO_N0[3],BOOL,,OFF,,,,,
,bDDO_N0[4],BOOL,,OFF,,,,,
,bDDO_N0[5],BOOL,,OFF,,,,,
,bDDO_N0[6],BOOL,,OFF,,,,,
,bDDO_N0[7],BOOL,,OFF,,,,,
97,bDDI_N0,BOOL[8],,...,不保持,私有,,,
,bDDI_N0[0],BOOL,,OFF,,,,,
,bDDI_N0[1],BOOL,,OFF,,,,,
,bDDI_N0[2],BOOL,,OFF,,,,,
,bDDI_N0[3],BOOL,,OFF,,,,,
,bDDI_N0[4],BOOL,,OFF,,,,,
,bDDI_N0[5],BOOL,,OFF,,,,,
,bDDI_N0[6],BOOL,,OFF,,,,,
,bDDI_N0[7],BOOL,,OFF,,,,,
98,iDDITestState,INT,,0,不保持,私有,,,
99,bDDI_OK,BOOL[8],,...,不保持,私有,,,
,bDDI_OK[0],BOOL,,OFF,,,,,
,bDDI_OK[1],BOOL,,OFF,,,,,
,bDDI_OK[2],BOOL,,OFF,,,,,
,bDDI_OK[3],BOOL,,OFF,,,,,
,bDDI_OK[4],BOOL,,OFF,,,,,
,bDDI_OK[5],BOOL,,OFF,,,,,
,bDDI_OK[6],BOOL,,OFF,,,,,
,bDDI_OK[7],BOOL,,OFF,,,,,
100,bDDO_P0,BOOL[8],,...,不保持,私有,,,
,bDDO_P0[0],BOOL,,OFF,,,,,
,bDDO_P0[1],BOOL,,OFF,,,,,
,bDDO_P0[2],BOOL,,OFF,,,,,
,bDDO_P0[3],BOOL,,OFF,,,,,
,bDDO_P0[4],BOOL,,OFF,,,,,
,bDDO_P0[5],BOOL,,OFF,,,,,
,bDDO_P0[6],BOOL,,OFF,,,,,
,bDDO_P0[7],BOOL,,OFF,,,,,
101,bDDI_P0,BOOL[8],,...,不保持,私有,,,
,bDDI_P0[0],BOOL,,OFF,,,,,
,bDDI_P0[1],BOOL,,OFF,,,,,
,bDDI_P0[2],BOOL,,OFF,,,,,
,bDDI_P0[3],BOOL,,OFF,,,,,
,bDDI_P0[4],BOOL,,OFF,,,,,
,bDDI_P0[5],BOOL,,OFF,,,,,
,bDDI_P0[6],BOOL,,OFF,,,,,
,bDDI_P0[7],BOOL,,OFF,,,,,
102,TPR4_En,BOOL,,OFF,不保持,私有,,,
103,TPR4_PT,DINT,,0,不保持,私有,,,
104,TPR4_Rst,BOOL,,OFF,不保持,私有,,,
105,TPR4_Q,BOOL,,OFF,不保持,私有,,,
106,TPR4_ET,DINT,,0,不保持,私有,,,
107,bDDLEDSuccess,BOOL,,OFF,不保持,私有,,,
108,xLED_CF,BOOL,,OFF,不保持,私有,,,
109,ESI_ID,INT,,0,不保持,私有,,,
110,ESI_WR_EN,BOOL,,OFF,不保持,私有,,,
111,ESI_WR_RET,INT,,0,不保持,私有,,,
112,TPR5_En,BOOL,,OFF,不保持,私有,,,
113,TPR5_PT,DINT,,0,不保持,私有,,,
114,TPR5_Rst,BOOL,,OFF,不保持,私有,,,
115,TPR5_Q,BOOL,,OFF,不保持,私有,,,
116,TPR5_ET,DINT,,0,不保持,私有,,,
117,iEsiBarCnt,INT,,0,不保持,私有,,,
118,Result,INT,,0,不保持,私有,,,
119,PID_DO,DINT,,0,不保持,私有,,,
120,PID_DI,DINT,,0,不保持,私有,,,
121,PID_AO,DINT,,0,不保持,私有,,,
122,PID_AI,DINT,,0,不保持,私有,,,
